 ,Area,Mean,Min,Max,Circ.,AR,Round,Solidity
55,332,255,255,255,0.876,1.392,0.718,0.925
56,363,255,255,255,0.905,1.129,0.886,0.945
57,346,255,255,255,0.871,1.288,0.777,0.928
58,491,255,255,255,0.885,1.207,0.828,0.933
59,297,255,255,255,0.817,1.640,0.610,0.927
60,380,255,255,255,0.896,1.270,0.787,0.946
61,457,255,255,255,0.934,1.026,0.975,0.954
62,332,255,255,255,0.929,1.202,0.832,0.941
63,383,255,255,255,0.809,1.037,0.964,0.910
64,396,255,255,255,0.898,1.184,0.845,0.944
65,490,255,255,255,0.811,1.154,0.867,0.931
66,340,255,255,255,0.903,1.173,0.853,0.933
67,270,255,255,255,0.926,1.194,0.837,0.941
68,399,255,255,255,0.920,1.129,0.885,0.944
69,306,255,255,255,0.887,1.082,0.925,0.927
70,449,255,255,255,0.893,1.142,0.875,0.940
71,288,255,255,255,0.735,1.404,0.712,0.903
72,411,255,255,255,0.918,1.054,0.949,0.949
73,311,255,255,255,0.915,1.222,0.819,0.940
74,317,255,255,255,0.726,1.599,0.625,0.908
75,352,255,255,255,0.929,1.139,0.878,0.942
76,337,255,255,255,0.917,1.100,0.909,0.943
77,491,255,255,255,0.935,1.165,0.859,0.956
